1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	19.965616	0.000000	0.035214	8.545715	27
1	19.014210	0.000000	0.035214	8.731413	0
2	17.023501	0.000000	0.035214	8.408567	0
3	14.908357	0.000000	0.035214	7.911017	0
4	13.187490	0.000000	0.035214	7.526304	0
5	10.876102	0.000000	0.035214	6.650622	0
6	9.311879	0.000000	0.035214	6.151963	0
7	7.867167	0.000000	0.035214	5.590285	0
8	6.626785	0.000000	0.035214	5.080210	0
9	5.649704	0.000000	0.035214	4.655026	0
10	5.112815	0.000000	0.035214	4.483982	0
11	4.534098	0.000000	0.035214	4.273294	0
12	3.964837	0.000000	0.035214	4.035159	0
13	3.481392	0.000000	0.035214	3.796896	0
14	2.972210	0.000000	0.035214	3.528098	0
15	2.487283	0.000000	0.035214	3.174856	0
16	2.206769	0.000000	0.035214	3.005732	0
17	1.972838	0.000000	0.035214	2.905789	0
18	1.669356	0.000000	0.035214	2.647295	0
19	1.509284	0.000000	0.035214	2.605268	0
20	1.079497	0.000000	0.035214	2.007007	0
21	1.006739	0.000000	0.035214	2.002450	0
22	0.893615	0.000000	0.035214	1.899429	0
23	0.776897	0.000000	0.035214	1.783252	0
24	0.649530	0.000000	0.035214	1.610581	0
25	0.578674	0.000000	0.035214	1.530134	0
26	0.492629	0.000000	0.035214	1.397246	0
27	0.436856	0.000000	0.035214	1.332730	0
28	0.351633	0.000000	0.035214	1.154046	0
29	0.329928	0.000000	0.035214	1.184077	0
30	0.273318	0.000000	0.035214	1.043907	0
31	0.237118	0.000000	0.035214	0.976604	0
32	0.206085	0.000000	0.035214	0.898264	0
33	0.176179	0.000000	0.035214	0.832658	0
34	0.154742	0.000000	0.035214	0.779679	0
35	0.137222	0.000000	0.035214	0.745721	0
36	0.111357	0.000000	0.035214	0.649281	0
37	0.107701	0.000000	0.035214	0.670310	0
38	0.090888	0.000000	0.035214	0.608236	0
39	0.078137	0.000000	0.035214	0.560501	0
40	0.064454	0.000000	0.035214	0.501616	0
41	0.056103	0.000000	0.035214	0.468434	0
42	0.049558	0.000000	0.035214	0.443551	0
43	0.041785	0.000000	0.035214	0.405562	0
44	0.039271	0.000000	0.035214	0.406643	0
45	0.030764	0.000000	0.035214	0.340419	0
46	0.029159	0.000000	0.035214	0.344488	0
47	0.024540	0.000000	0.035214	0.311446	0
48	0.019456	0.000000	0.035214	0.269234	0
49	0.018195	0.000000	0.035214	0.266209	0
