1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	19.760641	0.000000	0.040214	8.746206	26
1	16.217809	0.000000	0.040214	7.798796	0
2	14.819822	0.000000	0.040214	7.614290	0
3	13.147863	0.000000	0.040214	7.400680	0
4	11.042825	0.000000	0.040214	6.730637	0
5	9.511208	0.000000	0.040214	6.286914	0
6	7.874127	0.000000	0.040214	5.694220	0
7	6.615116	0.000000	0.040214	5.208199	0
8	5.152177	0.000000	0.040214	4.418354	0
9	4.961055	0.000000	0.040214	4.625660	0
10	3.824247	0.000000	0.040214	3.869634	0
11	3.264958	0.000000	0.040214	3.581003	0
12	2.610258	0.000000	0.040214	3.132983	0
13	2.408164	0.000000	0.040214	3.102399	0
14	2.071031	0.000000	0.040214	2.901696	0
15	1.687092	0.000000	0.040214	2.598296	0
16	1.491330	0.000000	0.040214	2.468119	0
17	1.199781	0.000000	0.040214	2.166235	0
18	1.067009	0.000000	0.040214	2.079906	0
19	0.949150	0.000000	0.040214	2.024589	0
20	0.719679	0.000000	0.040214	1.675314	0
21	0.661704	0.000000	0.040214	1.663460	0
22	0.505463	0.000000	0.040214	1.388453	0
23	0.466352	0.000000	0.040214	1.381770	0
24	0.383946	0.000000	0.040214	1.251943	0
25	0.336611	0.000000	0.040214	1.179777	0
26	0.272000	0.000000	0.040214	1.036624	0
27	0.238054	0.000000	0.040214	0.986245	0
28	0.192759	0.000000	0.040214	0.873119	0
29	0.183007	0.000000	0.040214	0.903177	0
30	0.134813	0.000000	0.040214	0.728019	0
31	0.123408	0.000000	0.040214	0.722537	0
32	0.099253	0.000000	0.040214	0.632322	0
33	0.088252	0.000000	0.040214	0.612090	0
34	0.066362	0.000000	0.040214	0.502457	0
35	0.055604	0.000000	0.040214	0.454634	0
36	0.049333	0.000000	0.040214	0.440898	0
37	0.044396	0.000000	0.040214	0.424804	0
38	0.034296	0.000000	0.040214	0.359075	0
39	0.030597	0.000000	0.040214	0.344016	0
40	0.027089	0.000000	0.040214	0.331058	0
41	0.023020	0.000000	0.040214	0.304300	0
42	0.020242	0.000000	0.040214	0.292922	0
43	0.014523	0.000000	0.040214	0.229198	0
44	0.014431	0.000000	0.040214	0.245511	0
45	0.012070	0.000000	0.040214	0.223725	0
46	0.009503	0.000000	0.040214	0.191066	0
47	0.008782	0.000000	0.040214	0.191091	0
48	0.007433	0.000000	0.040214	0.177292	0
49	0.005473	0.000000	0.040214	0.141762	0
