1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	18.129929	0.000000	0.043575	8.558500	26
1	14.427007	0.000000	0.043575	7.530512	0
2	12.432585	0.000000	0.043575	6.952168	0
3	10.813497	0.000000	0.043575	6.600948	0
4	8.901957	0.000000	0.043575	5.955538	0
5	7.806048	0.000000	0.043575	5.698629	0
6	6.277146	0.000000	0.043575	5.034122	0
7	5.338908	0.000000	0.043575	4.708687	0
8	4.140024	0.000000	0.043575	4.018270	0
9	3.887278	0.000000	0.043575	4.146128	0
10	2.919758	0.000000	0.043575	3.397946	0
11	2.425167	0.000000	0.043575	3.090889	0
12	1.921406	0.000000	0.043575	2.693496	0
13	1.737025	0.000000	0.043575	2.622481	0
14	1.435888	0.000000	0.043575	2.378884	0
15	1.194644	0.000000	0.043575	2.195809	0
16	1.048658	0.000000	0.043575	2.075839	0
17	0.805108	0.000000	0.043575	1.751233	0
18	0.708991	0.000000	0.043575	1.672358	0
19	0.611429	0.000000	0.043575	1.585160	0
20	0.493879	0.000000	0.043575	1.399487	0
21	0.427591	0.000000	0.043575	1.336982	0
22	0.324530	0.000000	0.043575	1.107778	0
23	0.297563	0.000000	0.043575	1.099320	0
24	0.245337	0.000000	0.043575	0.997380	0
25	0.208295	0.000000	0.043575	0.922832	0
26	0.166330	0.000000	0.043575	0.808428	0
27	0.143338	0.000000	0.043575	0.762314	0
28	0.114581	0.000000	0.043575	0.675644	0
29	0.103919	0.000000	0.043575	0.669848	0
30	0.075799	0.000000	0.043575	0.537871	0
31	0.070544	0.000000	0.043575	0.541960	0
32	0.057669	0.000000	0.043575	0.482350	0
33	0.048246	0.000000	0.043575	0.448259	0
34	0.037102	0.000000	0.043575	0.376111	0
35	0.031377	0.000000	0.043575	0.343881	0
36	0.028227	0.000000	0.043575	0.339175	0
37	0.023123	0.000000	0.043575	0.302103	0
38	0.018184	0.000000	0.043575	0.261195	0
39	0.016016	0.000000	0.043575	0.248590	0
40	0.013969	0.000000	0.043575	0.236670	0
41	0.011323	0.000000	0.043575	0.210499	0
42	0.010077	0.000000	0.043575	0.205270	0
43	0.007010	0.000000	0.043575	0.157662	0
44	0.006859	0.000000	0.043575	0.165322	0
45	0.005944	0.000000	0.043575	0.157122	0
46	0.004591	0.000000	0.043575	0.133240	0
47	0.003898	0.000000	0.043575	0.123798	0
48	0.003433	0.000000	0.043575	0.119446	0
49	0.002536	0.000000	0.043575	0.096323	0
