1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	0.447192	0.000000	63.949837	0.211781	782
1	2.593206	0.000000	63.949837	0.566325	0
2	19.667885	1.000000	61.043026	1.528510	0
3	116.179195	2.000000	58.388981	3.626631	0
4	588.373173	3.000000	55.956107	8.195529	0
5	2728.272601	4.000000	53.717863	18.294512	0
6	12432.678931	5.000000	51.651791	38.264951	0
7	41298.681786	6.000000	49.738762	65.655148	0
8	112197.649217	7.000000	47.962378	118.025192	0
9	335971.891439	8.000000	46.308503	194.531039	0
10	796160.710786	9.000000	44.764886	301.325384	0
11	1507092.461741	10.000000	43.320857	414.568954	0
12	3657096.191905	11.000000	41.967080	677.006517	0
13	9572347.696177	12.000000	40.695351	1105.138204	0
14	22007782.106275	13.000000	39.498429	1647.795384	0
15	41172105.137276	14.000000	38.369902	2224.078065	0
16	52466929.206913	15.000000	37.304071	2379.647652	0
17	49338941.993839	16.000000	36.295853	2304.236117	0
18	51753021.737984	17.000000	35.340699	2558.796625	0
19	72835163.072480	18.000000	34.434528	2810.543642	0
20	52989632.983545	19.000000	33.573664	2443.489772	0
21	42465758.283978	20.000000	32.754794	2096.793459	0
22	24478717.724703	21.000000	31.974918	1675.848318	0
23	17012646.334268	22.000000	31.231316	1421.888074	0
24	10913990.493097	23.000000	30.521513	1008.839436	0
25	3235643.296372	24.000000	29.843257	477.456912	0
26	1243991.979394	25.000000	29.194491	332.558385	0
27	879064.004623	26.000000	28.573331	280.531737	0
28	706961.848466	27.000000	27.978054	224.627563	0
29	371688.650431	28.000000	27.407073	156.083877	0
30	236864.597713	29.000000	26.858931	99.035439	0
31	133633.367393	30.000000	26.332286	59.271017	0
32	89597.833842	31.000000	25.825896	30.442470	0
33	134858.974092	32.000000	25.338615	39.111856	0
34	233681.049526	31.200000	25.726946	53.237863	0
35	134343.644435	30.400000	26.127365	44.069653	0
36	110537.637225	29.600000	26.540446	38.988794	0
37	57790.152930	28.800000	26.966799	31.468949	0
38	75018.923151	28.000000	27.407073	25.275451	0
39	42736.539283	27.200000	27.861962	23.141492	0
40	58363.397463	26.400000	28.332206	27.391396	0
41	53229.194254	25.600000	28.818596	34.030148	0
42	51594.163468	26.600000	28.213163	26.743651	0
43	48336.961999	25.800000	28.695440	28.812379	0
44	43837.686124	25.000000	29.194491	39.646320	0
45	42209.204592	26.000000	28.573331	28.753876	0
46	29370.758932	27.000000	27.978054	16.754498	0
47	31923.180340	28.000000	27.407073	19.532122	0
48	33946.201868	29.000000	26.858931	31.947785	0
49	27950.216162	30.000000	26.332286	29.723776	0
