1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	0.469544	0.000000	56.641799	0.227849	775
1	2.236140	0.000000	56.641799	0.528072	0
2	11.980211	1.000000	54.067171	1.183155	0
3	48.614796	2.000000	51.716425	2.343846	0
4	171.051930	3.000000	49.561574	4.412449	0
5	544.098066	4.000000	47.579111	8.162490	0
6	1707.157025	5.000000	45.749145	14.121396	0
7	3870.460340	6.000000	44.054732	20.062426	0
8	6845.704215	7.000000	42.481349	28.962227	0
9	13700.163621	8.000000	41.016475	39.270048	0
10	21999.223700	9.000000	39.649259	50.059714	0
11	27553.008280	10.000000	38.370251	55.441616	0
12	42889.184744	11.000000	37.171180	72.552950	0
13	72271.327094	12.000000	36.044781	95.846503	0
14	109612.514389	13.000000	34.984640	116.114620	0
15	135323.682453	14.000000	33.985079	127.236045	0
16	113311.530455	15.000000	33.041049	110.259247	0
17	68395.134051	16.000000	32.148048	84.679336	0
18	42386.569476	17.000000	31.302047	71.510579	0
19	36336.355153	18.000000	30.499430	61.362080	0
20	13777.377081	19.000000	29.736944	37.784233	0
21	6623.936656	20.000000	29.011653	24.928628	0
22	2804.252571	21.000000	28.320899	16.608571	0
23	1785.176927	22.000000	27.662274	13.362748	0
24	953.740392	23.000000	27.033586	7.174132	0
25	649.717211	24.000000	26.432839	3.695925	0
26	341.367220	23.200000	26.911262	3.957517	0
27	319.403486	24.200000	26.315880	3.862535	0
28	270.312879	25.200000	25.746272	2.398848	0
29	176.084783	26.200000	25.200800	1.319484	0
30	159.805899	25.400000	25.635297	1.421023	0
31	173.590969	24.600000	26.085039	1.594291	0
32	116.682977	25.600000	25.525274	1.048641	0
33	179.331456	26.600000	24.989029	1.353002	0
34	212.824048	25.800000	25.416192	1.435312	0
35	124.853589	25.000000	25.858212	1.027966	0
36	91.596336	24.200000	26.315880	0.891365	0
37	84.028842	23.400000	26.790040	1.066918	0
38	91.748836	22.600000	27.281600	0.950807	0
39	70.869106	21.800000	27.791537	0.824586	0
40	88.446148	21.000000	28.320899	1.382638	0
41	83.688481	22.000000	27.662274	1.674456	0
42	57.140095	23.000000	27.033586	1.090363	0
43	70.292324	24.000000	26.432839	1.102425	0
44	67.077424	25.000000	25.858212	1.550864	0
45	53.615771	26.000000	25.308038	0.858203	0
46	42.119710	27.000000	24.780787	0.657335	0
47	31.741031	26.200000	25.200800	0.408618	0
48	44.627216	25.400000	25.635297	1.179257	0
49	37.356739	24.600000	26.085039	0.973783	0
