1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	0.846277	0.000000	43.904090	0.295064	783
1	1.547198	0.000000	43.904090	0.429956	0
2	3.804864	1.000000	41.908450	0.671521	0
3	7.276051	2.000000	40.086343	0.903302	0
4	10.921129	3.000000	38.416079	1.110952	0
5	14.303441	4.000000	36.879436	1.320183	0
6	18.898858	5.000000	35.460996	1.467276	0
7	17.479518	6.000000	34.147626	1.344904	0
8	11.234934	7.000000	32.928068	1.139974	0
9	8.731535	8.000000	31.792617	0.977838	0
10	5.969548	9.000000	30.732863	0.814434	0
11	3.608635	10.000000	29.741480	0.607543	0
12	2.106083	11.000000	28.812059	0.500777	0
13	1.368524	12.000000	27.938966	0.404538	0
14	0.747397	13.000000	27.117232	0.284690	0
15	0.395546	14.000000	26.342454	0.199105	0
16	0.154149	15.000000	25.610719	0.113139	0
17	0.052017	16.000000	24.918538	0.047591	0
18	0.051203	17.000000	24.262787	0.030486	0
19	0.053056	18.000000	23.640664	0.038095	0
20	0.032982	17.200000	24.135756	0.029659	0
21	0.033240	18.200000	23.520048	0.020283	0
22	0.032688	17.400000	24.010049	0.028592	0
23	0.044589	16.600000	24.520901	0.050035	0
24	0.029147	17.600000	23.885645	0.040228	0
25	0.024301	18.600000	23.282472	0.016374	0
26	0.018627	19.600000	22.709012	0.017182	0
27	0.019672	18.800000	23.165475	0.016789	0
28	0.020520	19.800000	22.597693	0.016843	0
29	0.017733	20.800000	22.057079	0.011609	0
30	0.014649	20.000000	22.487461	0.010944	0
31	0.020015	19.200000	22.934972	0.017231	0
32	0.016569	20.200000	22.378298	0.017716	0
33	0.011014	21.200000	21.848007	0.010463	0
34	0.008808	22.200000	21.342266	0.009688	0
35	0.015121	23.200000	20.859409	0.011159	0
36	0.010052	22.400000	21.243915	0.013670	0
37	0.008612	23.400000	20.765448	0.008270	0
38	0.009948	24.400000	20.308059	0.009377	0
39	0.009009	23.600000	20.672329	0.010773	0
40	0.008862	24.600000	20.218989	0.009856	0
41	0.006628	23.800000	20.580042	0.009563	0
42	0.007729	24.800000	20.130696	0.008590	0
43	0.009622	25.800000	19.700553	0.009969	0
44	0.008587	26.800000	19.288408	0.011835	0
45	0.005719	27.800000	18.893154	0.008506	0
46	0.008516	28.800000	18.513773	0.010802	0
47	0.007195	29.800000	18.149329	0.005756	0
48	0.005597	29.000000	18.439718	0.011751	0
49	0.010149	30.000000	18.078155	0.009879	0
