,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186
20140121RIC8B_15.4_b_wt_scaled_3.125_pixel_14.0,0,0,2493180,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,137726,117441,707977,685869,570497,60877,8403,0,17245,32784,2761,1455,880,930,20017,32686,51186,6371,344,124413,54018,41570,88558,7636,33417,2722,14198,48719,228479,13385,5426,1374617,592356,370525,122736,40065,1043,75586,4286,66,108410,55737,44562,89607,51733,15847,10271,2453,18106,74072,9235,415,405559,1032,52654,8082,4016,6524,7923,14110,2046,799,8700,1805,422,2374,3250,2169,2432,4603,639,488,1324888,457701,829689,17100,3162,3686,8245,2081,987,2062,3963,4055,1775,843,1031,7523,4103,2819,19246,4147,51623,26538,28898,3064,6501,14267,10395,15374,2593,12640,250,14299,20081,68863,42985,7958,1040,3543,1831,917,377,1553,1294,2354,1205,4825,4764,7354,832,1910,580,13792,40787,5212,782,6944,7658,22882,50878,7293,4506,10705,9757,711,2546,2575,2188,1729,7989,7852,13529,9379,888,2448,2618,2279,9012,15319,3222,10237,5679,4250,7082,1731,2444,1021,480,51464,8766,34630,93468,92290,50323,19402
20140409_ATG3_E14.5_16.4i_WT_XX_scaled_2.8226_pixel_14.0001,0,0,2701766,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,150682,120006,786456,678784,555148,67684,8055,0,19051,36637,3057,1963,990,1033,24649,36235,59641,7708,392,136390,45067,47395,119381,9880,37096,2849,16243,53128,256581,14451,5951,1681544,873931,496601,146197,43349,1089,97361,5260,69,120947,53145,45693,94577,56746,17276,11188,3037,20770,87183,10477,423,421247,1238,61495,9597,4794,6350,8481,14736,2148,755,9466,1890,538,3018,3676,2570,2402,5008,781,493,1280075,475425,889314,22203,3364,4451,8605,2128,814,2160,4498,4581,1885,1138,1130,7962,4266,2920,26121,4512,49825,31757,33970,3584,7352,16797,12233,18692,2377,14864,224,16753,22683,77556,47808,9381,1151,3726,1932,977,366,1776,1530,2308,1247,4980,5397,7631,815,2216,622,14541,46755,5967,849,8059,8323,26789,56393,8053,5523,11596,11637,810,3233,2905,2114,2168,9277,8754,15876,9438,977,3139,3416,2446,10802,16179,3082,11264,6659,4828,7489,1765,2833,1175,564,58713,8165,36057,103278,108600,57076,22528
20140409_ATG3_E14.5_18.2h_WT_XY_scaled_2.8226_pixel_14.0001,0,0,2554321,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,136438,113150,712304,614581,492417,64740,8371,0,17609,35894,3195,1852,919,1014,25888,35941,55945,7343,375,132352,53706,46257,102730,9290,34946,3024,15868,52617,244623,13215,5144,1296640,726571,404512,121934,47229,1197,86956,4735,69,126413,64261,51835,99047,58188,18588,11273,2773,20112,82725,9879,421,389390,1100,55152,9002,3881,6087,7483,13869,1937,905,9028,1893,501,2412,3727,1871,2164,5049,819,562,1195794,418519,813384,16621,2752,3263,7548,1982,875,1464,4250,4156,1698,756,1170,7980,3849,3241,19478,4591,69029,27039,25893,3562,6944,17033,12051,17649,2066,13140,261,15839,22916,77999,46805,8956,1124,4024,2008,958,448,1594,1476,2253,1100,4743,5255,7762,849,1968,620,15766,49844,6020,811,7386,8471,25736,55793,7861,5017,10819,11224,795,2961,2871,2461,2067,8399,8142,16491,9450,889,3017,3260,2103,9963,17101,3307,10552,5615,4914,7246,1579,2592,1078,504,60332,9123,35801,103542,100594,55034,22480
20141127_PRKAB2_E14.5_17.3D_WT_XY_scaled_4.6823_pixel_14.0001,0,0,2857835,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,162015,132459,817019,723879,557123,81399,11973,0,19824,45583,3901,2152,1009,1363,40341,44869,76577,9202,589,162382,82517,53491,131020,11006,44928,4382,20027,66726,307799,17605,7197,1669337,975161,494305,166013,60820,1622,123820,6876,86,170702,81707,65189,130873,75690,20427,14784,3290,23100,97793,11325,420,462748,1129,60108,10768,4631,6815,9618,16186,2249,1075,10090,2498,617,2768,3920,2334,2523,5960,921,699,1317654,507332,822683,21037,3474,3612,9183,2298,987,1932,4930,4872,2145,881,1394,10266,4382,3304,21634,5342,61790,26270,28739,3889,7645,21915,12635,23521,2307,13942,247,22067,29705,106936,64753,12749,1456,4903,2699,1188,521,2423,1949,2797,1384,6542,6739,10416,1315,2335,727,19496,69581,5345,812,9315,11655,35252,78458,10410,7247,13549,14806,1023,2910,3382,2892,2878,12749,10467,20950,11676,1048,3871,4587,2977,11840,21366,4829,13887,8124,6785,9053,2175,3487,1579,568,77781,9753,46151,129691,127396,68810,26802
20150216_Otud6b_E14.5_19.4c_WT_xy_scaled_4.6823_pixel_14.0001,0,0,2546486,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,138120,109058,707992,615285,501260,68924,9620,0,18856,35494,2993,1825,969,1022,24587,37608,57364,7406,367,135928,44370,45960,94672,8293,32345,2905,15760,52631,246518,13256,5845,1396136,883279,441429,126720,47937,1636,91574,5034,90,123797,69636,51411,96247,58940,19110,11544,2560,18546,80422,10083,371,380576,1075,53798,9013,3638,6843,8123,13751,1963,779,8585,1918,558,2209,3649,1974,2224,4823,740,508,1257887,437241,847469,17345,3300,3087,8757,2046,852,1627,4178,3795,1828,921,1350,7615,3578,2953,22313,3791,43486,29708,28494,3642,6029,16433,10733,18235,2201,14946,259,18100,25125,86152,46971,9344,1164,4111,2168,996,434,1836,1582,2722,1366,5249,5210,8331,999,2162,665,14395,42444,5322,892,8188,9344,30937,69520,7196,4889,11422,9707,729,2781,2954,2454,1935,8736,7852,14552,10457,931,2688,3159,2532,10450,16984,3540,11222,6116,4839,7728,1831,2680,1188,482,55008,7638,31039,108039,110446,60214,23439
20150411_RAPSN_E14.5_16.1f_WT_XY_scaled_4.6823_pixel_14.0001,0,0,2774905,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,148105,124985,805638,649722,545429,80349,11185,0,17791,38439,3131,1881,860,1142,28865,42293,65435,8302,563,160053,55290,50744,118617,9123,39827,3452,16423,57099,279478,14808,6254,1707953,906418,443056,154016,52738,1645,100354,5346,60,146122,69681,52034,112012,60168,18190,11429,2527,19370,85669,8180,335,366067,1108,53552,9173,4262,6847,7761,15973,1994,670,8904,2268,556,2902,3490,2014,2607,5167,749,581,1451424,496539,939144,18975,4125,4050,9209,2201,862,1558,4505,3856,2081,832,1174,7906,4368,2885,21238,3996,48722,30114,32672,3855,7159,19390,14128,19771,2975,14211,236,20693,26115,102765,57881,10240,1336,4306,2563,1059,425,2059,1644,3580,2040,6346,6708,9672,1043,2507,643,18498,58868,5936,1007,9362,10811,34430,78267,7964,6027,13174,11754,782,2333,3324,2789,2311,10579,9410,14856,11655,1026,2698,3413,2500,10558,19340,3796,12242,7241,5471,8443,2081,3117,1292,534,60833,8775,38025,125808,129687,72164,26956
20150729_FGF9_E14.5_15.2c_HOM_XX_scaled_4.6823_pixel_14.0001,0,0,2724419,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,146955,123263,772239,661780,512491,40639,4301,0,17158,30727,2184,1592,881,992,30101,40227,63707,8665,388,108210,28062,51558,134831,9073,37453,3148,15250,51500,256900,11169,5926,1173174,609906,266295,109241,34491,693,112577,5301,55,81083,42049,31552,67839,42777,11823,9360,2210,15533,87931,10392,340,360177,832,52676,8184,3451,6304,8116,16534,1664,665,8201,2004,448,2201,3175,1751,1557,4483,677,391,1275641,489098,800069,15734,2729,3576,9347,2039,670,1504,4021,4613,1815,746,881,8305,3822,2968,10263,4327,41697,22685,33190,2338,6479,13655,8202,22685,1690,13456,226,20379,26337,103462,37420,9700,1398,4217,2212,1034,463,1668,1287,2608,1462,5493,6620,8074,1006,2251,609,10763,47292,6337,981,9037,10234,37937,72637,8418,4850,11141,12156,869,2450,3384,2672,2216,10179,9430,15792,12267,1086,2565,3014,2079,10582,16395,2957,10709,7105,5722,8104,2018,3409,1363,534,55284,8263,32225,113589,114906,63955,24180
20150729_FGF9_E14.5_15.2d_HOM_XY_scaled_4.6823_pixel_14.0001,0,0,2990729,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,163680,137264,835310,717852,555095,47148,5308,0,19520,34756,2352,1853,1073,1111,39310,45289,74771,10480,447,115092,26550,56249,130599,9579,42377,4001,18600,61921,305741,12816,7347,1533310,751489,292750,182780,30591,489,132818,6409,76,82582,39439,33729,56018,62001,15836,11690,2611,17959,103602,10842,352,357697,939,58684,8979,3833,6546,9675,15613,1672,724,8704,2240,571,2518,3836,1867,1664,5355,812,671,1418950,524041,882027,21588,3406,4192,8742,2131,710,1639,4867,5095,2008,902,1225,10267,3784,3276,19045,4335,47772,29203,29897,2777,6492,20908,6912,27036,3475,13679,199,21894,29894,114916,46941,11358,1381,4831,2517,1083,508,1953,1771,3202,1614,6415,7089,9945,1277,2285,838,14408,69140,7295,907,8811,9122,32396,76185,10057,5963,12509,14631,1043,2401,2849,2485,2608,11698,10090,19573,11833,979,2826,3673,2510,10126,17840,3818,11717,7575,6487,8235,1827,3270,1279,482,70523,11725,40056,124688,141203,73548,26943
20150729_FGF9_E14.5_15.2f_HOM_XY_scaled_4.6823_pixel_14.0001,0,0,2706379,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,147475,122523,765479,672217,517967,40761,3729,0,18691,31446,2346,1884,1072,1030,26033,36728,52072,7500,372,112740,36146,50857,101145,9081,31648,2947,14631,46557,239751,10976,5808,1225879,633900,237798,144096,33223,825,111287,4898,69,54272,26859,23503,46611,32807,13887,8529,2398,15786,88248,11028,440,448843,845,60890,8606,3863,5661,7683,13843,1710,724,7963,1741,472,2132,2889,1817,1498,4440,549,425,1397555,483090,701273,17837,3080,4541,7849,1981,773,1674,3572,3838,1677,893,1066,6072,3370,3272,19105,3628,38811,23508,25465,2746,4880,12900,8409,19602,2163,12592,224,18339,25089,86971,35486,8472,923,3850,2068,946,379,1614,1350,2688,1291,5033,5442,7422,873,1945,621,9711,37800,6204,1105,9367,8963,34388,67633,7406,4127,9718,11160,721,3107,2847,2316,1742,8967,9137,13870,10662,982,2547,2965,2343,10500,15463,3023,9963,6486,4987,7983,1867,3281,1380,520,47389,7416,27744,97382,117336,60914,22885
20150918_FGF9_E14.5_17.2b_HOM_XX_scaled_4.6823_pixel_14.0001,0,0,1765685,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,104753,88313,503676,451598,364858,25335,1687,0,15390,21142,2092,1648,715,723,16486,22964,31883,5340,207,68069,21363,37190,67948,5025,20311,2039,10038,30539,156990,7734,4075,803311,366923,143298,75718,19662,544,58083,4030,40,40641,17642,19627,37995,27231,8994,6635,1901,11515,58179,6905,240,375945,602,43629,5740,2713,4193,5744,10642,1252,586,5774,1190,357,1596,2307,1738,1246,3316,555,214,903888,350481,735623,12877,1729,2875,6090,1655,639,1389,3011,3001,1317,888,673,5030,2552,2102,11479,2948,33052,16275,21573,1745,3893,9053,4905,12227,1815,11000,211,10507,14481,51339,23492,5592,854,2158,1469,614,253,978,1002,1574,846,3107,3532,5351,552,1476,422,7442,27375,4555,746,5755,5672,18365,38446,4912,2523,6484,7700,561,1989,2031,1561,1308,5771,6451,10328,6714,635,1717,2007,1089,7602,9539,1341,5677,3768,3282,5866,1151,2211,978,368,34715,5711,24938,69872,80517,38902,16240
